JIS X 0208 由来の Unicode 文字全部


Unicode® Standard Annex #11
East Asian Width
http://www.unicode.org/reports/tr11/


属性		意味
--------------------------------
F   Fullwidth	常に全角 (2 幅)
H   Halfwidth	常に半角 (1 幅)
W   Wide	全角で表示される
Na  Narrow	半角で表示される
A   Ambiguous	環境依存
N   Neutral	幅の概念がない


JIS UNICODE 属{字}
------------------
2641 U+03B1 A {α}
2642 U+03B2 A {β}
2643 U+03B3 A {γ}
2644 U+03B4 A {δ}
2645 U+03B5 A {ε}
2646 U+03B6 A {ζ}
2647 U+03B7 A {η}
2648 U+03B8 A {θ}
2649 U+03B9 A {ι}
264A U+03BA A {κ}
264B U+03BB A {λ}
264C U+03BC A {μ}
264D U+03BD A {ν}
264E U+03BE A {ξ}
264F U+03BF A {ο}
2650 U+03C0 A {π}
2651 U+03C1 A {ρ}
2652 U+03C3 A {σ}
2653 U+03C4 A {τ}
2654 U+03C5 A {υ}
2655 U+03C6 A {φ}
2656 U+03C7 A {χ}
2657 U+03C8 A {ψ}
2658 U+03C9 A {ω}
2721 U+0410 A {А}
2722 U+0411 A {Б}
2723 U+0412 A {В}
2724 U+0413 A {Г}
2725 U+0414 A {Д}
2726 U+0415 A {Е}
2727 U+0401 A {Ё}
2728 U+0416 A {Ж}
2729 U+0417 A {З}
272A U+0418 A {И}
272B U+0419 A {Й}
272C U+041A A {К}
272D U+041B A {Л}
272E U+041C A {М}
272F U+041D A {Н}
2730 U+041E A {О}
2731 U+041F A {П}
2732 U+0420 A {Р}
2733 U+0421 A {С}
2734 U+0422 A {Т}
2735 U+0423 A {У}
2736 U+0424 A {Ф}
2737 U+0425 A {Х}
2738 U+0426 A {Ц}
2739 U+0427 A {Ч}
273A U+0428 A {Ш}
273B U+0429 A {Щ}
273C U+042A A {Ъ}
273D U+042B A {Ы}
273E U+042C A {Ь}
273F U+042D A {Э}
2740 U+042E A {Ю}
2741 U+042F A {Я}
2751 U+0430 A {а}
2752 U+0431 A {б}
2753 U+0432 A {в}
2754 U+0433 A {г}
2755 U+0434 A {д}
2756 U+0435 A {е}
2757 U+0451 A {ё}
2758 U+0436 A {ж}
2759 U+0437 A {з}
275A U+0438 A {и}
275B U+0439 A {й}
275C U+043A A {к}
275D U+043B A {л}
275E U+043C A {м}
275F U+043D A {н}
2760 U+043E A {о}
2761 U+043F A {п}
2762 U+0440 A {р}
2763 U+0441 A {с}
2764 U+0442 A {т}
2765 U+0443 A {у}
2766 U+0444 A {ф}
2767 U+0445 A {х}
2768 U+0446 A {ц}
2769 U+0447 A {ч}
276A U+0448 A {ш}
276B U+0449 A {щ}
276C U+044A A {ъ}
276D U+044B A {ы}
276E U+044C A {ь}
276F U+044D A {э}
2770 U+044E A {ю}
2771 U+044F A {я}
2821 U+2500 A {─}
2822 U+2502 A {│}
2823 U+250C A {┌}
2824 U+2510 A {┐}
2825 U+2518 A {┘}
2826 U+2514 A {└}
2827 U+251C A {├}
2828 U+252C A {┬}
2829 U+2524 A {┤}
282A U+2534 A {┴}
282B U+253C A {┼}
282C U+2501 A {━}
282D U+2503 A {┃}
282E U+250F A {┏}
282F U+2513 A {┓}
2830 U+251B A {┛}
2831 U+2517 A {┗}
2832 U+2523 A {┣}
2833 U+2533 A {┳}
2834 U+252B A {┫}
2835 U+253B A {┻}
2836 U+254B A {╋}
2837 U+2520 A {┠}
2838 U+252F A {┯}
2839 U+2528 A {┨}
283A U+2537 A {┷}
283B U+253F A {┿}
283C U+251D A {┝}
283D U+2530 A {┰}
283E U+2525 A {┥}
283F U+2538 A {┸}
2840 U+2542 A {╂}
3021 U+4E9C W {亜}
3022 U+5516 W {唖}
3023 U+5A03 W {娃}
3024 U+963F W {阿}
3025 U+54C0 W {哀}
3026 U+611B W {愛}
3027 U+6328 W {挨}
3028 U+59F6 W {姶}
3029 U+9022 W {逢}
302A U+8475 W {葵}
302B U+831C W {茜}
302C U+7A50 W {穐}
302D U+60AA W {悪}
302E U+63E1 W {握}
302F U+6E25 W {渥}
3030 U+65ED W {旭}
3031 U+8466 W {葦}
3032 U+82A6 W {芦}
3033 U+9BF5 W {鯵}
3034 U+6893 W {梓}
3035 U+5727 W {圧}
3036 U+65A1 W {斡}
3037 U+6271 W {扱}
3038 U+5B9B W {宛}
3039 U+59D0 W {姐}
303A U+867B W {虻}
303B U+98F4 W {飴}
303C U+7D62 W {絢}
303D U+7DBE W {綾}
303E U+9B8E W {鮎}
303F U+6216 W {或}
3040 U+7C9F W {粟}
3041 U+88B7 W {袷}
3042 U+5B89 W {安}
3043 U+5EB5 W {庵}
3044 U+6309 W {按}
3045 U+6697 W {暗}
3046 U+6848 W {案}
3047 U+95C7 W {闇}
3048 U+978D W {鞍}
3049 U+674F W {杏}
304A U+4EE5 W {以}
304B U+4F0A W {伊}
304C U+4F4D W {位}
304D U+4F9D W {依}
304E U+5049 W {偉}
304F U+56F2 W {囲}
3050 U+5937 W {夷}
3051 U+59D4 W {委}
3052 U+5A01 W {威}
3053 U+5C09 W {尉}
3054 U+60DF W {惟}
3055 U+610F W {意}
3056 U+6170 W {慰}
3057 U+6613 W {易}
3058 U+6905 W {椅}
3059 U+70BA W {為}
305A U+754F W {畏}
305B U+7570 W {異}
305C U+79FB W {移}
305D U+7DAD W {維}
305E U+7DEF W {緯}
305F U+80C3 W {胃}
3060 U+840E W {萎}
3061 U+8863 W {衣}
3062 U+8B02 W {謂}
3063 U+9055 W {違}
3064 U+907A W {遺}
3065 U+533B W {医}
3066 U+4E95 W {井}
3067 U+4EA5 W {亥}
3068 U+57DF W {域}
3069 U+80B2 W {育}
306A U+90C1 W {郁}
306B U+78EF W {磯}
306C U+4E00 W {一}
306D U+58F1 W {壱}
306E U+6EA2 W {溢}
306F U+9038 W {逸}
3070 U+7A32 W {稲}
3071 U+8328 W {茨}
3072 U+828B W {芋}
3073 U+9C2F W {鰯}
3074 U+5141 W {允}
3075 U+5370 W {印}
3076 U+54BD W {咽}
3077 U+54E1 W {員}
3078 U+56E0 W {因}
3079 U+59FB W {姻}
307A U+5F15 W {引}
307B U+98F2 W {飲}
307C U+6DEB W {淫}
307D U+80E4 W {胤}
307E U+852D W {蔭}
3121 U+9662 W {院}
3122 U+9670 W {陰}
3123 U+96A0 W {隠}
3124 U+97FB W {韻}
3125 U+540B W {吋}
3126 U+53F3 W {右}
3127 U+5B87 W {宇}
3128 U+70CF W {烏}
3129 U+7FBD W {羽}
312A U+8FC2 W {迂}
312B U+96E8 W {雨}
312C U+536F W {卯}
312D U+9D5C W {鵜}
312E U+7ABA W {窺}
312F U+4E11 W {丑}
3130 U+7893 W {碓}
3131 U+81FC W {臼}
3132 U+6E26 W {渦}
3133 U+5618 W {嘘}
3134 U+5504 W {唄}
3135 U+6B1D W {欝}
3136 U+851A W {蔚}
3137 U+9C3B W {鰻}
3138 U+59E5 W {姥}
3139 U+53A9 W {厩}
313A U+6D66 W {浦}
313B U+74DC W {瓜}
313C U+958F W {閏}
313D U+5642 W {噂}
313E U+4E91 W {云}
313F U+904B W {運}
3140 U+96F2 W {雲}
3141 U+834F W {荏}
3142 U+990C W {餌}
3143 U+53E1 W {叡}
3144 U+55B6 W {営}
3145 U+5B30 W {嬰}
3146 U+5F71 W {影}
3147 U+6620 W {映}
3148 U+66F3 W {曳}
3149 U+6804 W {栄}
314A U+6C38 W {永}
314B U+6CF3 W {泳}
314C U+6D29 W {洩}
314D U+745B W {瑛}
314E U+76C8 W {盈}
314F U+7A4E W {穎}
3150 U+9834 W {頴}
3151 U+82F1 W {英}
3152 U+885B W {衛}
3153 U+8A60 W {詠}
3154 U+92ED W {鋭}
3155 U+6DB2 W {液}
3156 U+75AB W {疫}
3157 U+76CA W {益}
3158 U+99C5 W {駅}
3159 U+60A6 W {悦}
315A U+8B01 W {謁}
315B U+8D8A W {越}
315C U+95B2 W {閲}
315D U+698E W {榎}
315E U+53AD W {厭}
315F U+5186 W {円}
3160 U+5712 W {園}
3161 U+5830 W {堰}
3162 U+5944 W {奄}
3163 U+5BB4 W {宴}
3164 U+5EF6 W {延}
3165 U+6028 W {怨}
3166 U+63A9 W {掩}
3167 U+63F4 W {援}
3168 U+6CBF W {沿}
3169 U+6F14 W {演}
316A U+708E W {炎}
316B U+7114 W {焔}
316C U+7159 W {煙}
316D U+71D5 W {燕}
316E U+733F W {猿}
316F U+7E01 W {縁}
3170 U+8276 W {艶}
3171 U+82D1 W {苑}
3172 U+8597 W {薗}
3173 U+9060 W {遠}
3174 U+925B W {鉛}
3175 U+9D1B W {鴛}
3176 U+5869 W {塩}
3177 U+65BC W {於}
3178 U+6C5A W {汚}
3179 U+7525 W {甥}
317A U+51F9 W {凹}
317B U+592E W {央}
317C U+5965 W {奥}
317D U+5F80 W {往}
317E U+5FDC W {応}
3221 U+62BC W {押}
3222 U+65FA W {旺}
3223 U+6A2A W {横}
3224 U+6B27 W {欧}
3225 U+6BB4 W {殴}
3226 U+738B W {王}
3227 U+7FC1 W {翁}
3228 U+8956 W {襖}
3229 U+9D2C W {鴬}
322A U+9D0E W {鴎}
